b_bonuskey,b_date,b_amount,b_reason,b_facultykey
25,2024-04-19,1437,Four young like draw alone physical record statement.,940
70,2016-12-25,2432,Concern anyone tend until dinner offer.,869
73,2018-05-25,4777,Continue know miss just during.,969
77,2022-03-06,4755,Agent respond you writer can.,905
97,2018-12-19,2744,Question go value couple.,945
101,2024-03-11,3314,Score evidence office right four arm.,913
102,2018-02-21,4682,Morning accept coach million future.,859
135,2019-06-29,4397,Party onto question care reduce operation rather cell.,898
155,2019-04-14,1181,Later lay nor pull often health teacher.,855
162,2021-07-23,4112,Husband for its have special itself either.,954
188,2018-03-10,4389,Contain night beyond they lose soon.,984
258,2016-08-21,2691,Institution goal including number cold.,965
264,2019-11-27,4727,Station century specific fine.,854
268,2014-12-24,3164,Couple the high I.,915
302,2019-07-29,3450,Drug plant serve wind figure listen.,894
302,2019-07-29,3450,Drug plant serve wind figure listen.,941
348,2017-01-16,1990,Account option already finish write move play.,852
363,2015-05-22,2270,Degree recognize how level oil.,957
376,2021-05-24,124,Before likely activity program.,959
391,2015-09-29,4759,Phone song community mind marriage data.,916
401,2023-10-09,4801,Stock toward himself.,942
430,2019-10-28,2145,Trade before wind computer hotel.,890
438,2024-06-26,2150,Open finish probably impact.,900
440,2016-05-17,957,Fund provide rise strong environment certain begin.,885
461,2022-08-25,2286,Majority production ahead vote quality experience.,895
562,2022-11-08,643,Car well ready address.,860
617,2015-01-09,2244,Drop many customer all.,992
645,2016-12-23,1810,Start small beautiful sister adult threat.,854
723,2017-09-18,2432,Western south would so field.,870
741,2015-08-21,1971,Family structure style senior clearly seven amount.,927
752,2022-01-07,793,Involve politics southern lead marriage keep.,947
759,2019-06-17,4049,Most recent commercial huge raise.,967
760,2017-05-11,4192,Board minute meeting service less staff.,965
768,2024-06-17,4804,Method ahead tonight family.,969
784,2017-12-07,3753,Feeling identify bar short according table form.,960
808,2023-02-03,4483,Tonight any feel goal open least address.,958
845,2015-03-14,4420,Agency single result quite beat present cultural laugh.,993
873,2018-01-20,1061,Specific together by past indeed green.,959
919,2018-12-26,2214,Traditional old north others various career thousand begin.,899
925,2016-03-20,301,Approach more industry education anything.,899
973,2015-05-04,3674,Face offer but take throw deep area.,881
1001,2021-07-23,3217,Fight me act compare.,857
1013,2021-06-08,3251,Big very last science would.,912
1040,2024-11-05,3179,Bank father for.,864
1076,2018-08-10,2582,Miss heart white building money generation us compare.,937
1101,2017-03-07,2568,Ten sure support interest factor total citizen meeting.,977
1174,2024-03-27,2752,Government letter debate foot foreign party consider.,966
1191,2023-02-16,3211,Never wrong technology.,902
1193,2020-04-22,2704,Where where race million kid.,917
1274,2019-08-21,1621,Perform beat hold determine.,951
