faculty_id,hire_date,role,salary
851,2020-11-04,Teacher,103515
852,2017-11-04,Teacher,99112
853,2016-11-04,Teacher,87453
854,2020-11-04,Teacher,69764
855,2019-11-04,Teacher,105615
856,2015-11-04,Teacher,76809
857,2018-11-04,Teacher,86579
858,2016-11-04,Teacher,83772
859,2015-11-04,Teacher,110843
860,2014-11-04,Teacher,65384
861,2019-11-04,Teacher,75228
862,2020-11-04,Teacher,57410
863,2014-11-04,Teacher,118737
864,2015-11-04,Teacher,87604
865,2020-11-04,Teacher,54229
866,2014-11-04,Teacher,93994
867,2015-11-04,Teacher,106449
868,2020-11-04,Teacher,108284
869,2017-11-04,Teacher,63181
870,2014-11-04,Teacher,66374
871,2016-11-04,Teacher,72868
872,2016-11-04,Teacher,75762
873,2018-11-04,Teacher,113000
874,2016-11-04,Teacher,81205
875,2014-11-04,Teacher,76557
876,2014-11-04,Teacher,110931
877,2020-11-04,Teacher,88022
878,2016-11-04,Teacher,92910
879,2020-11-04,Teacher,67662
880,2019-11-04,Teacher,71492
881,2015-11-04,Teacher,86565
882,2018-11-04,Teacher,88619
883,2017-11-04,Teacher,55579
884,2018-11-04,Teacher,99548
885,2014-11-04,Teacher,59026
886,2015-11-04,Teacher,85212
887,2019-11-04,Teacher,82621
888,2015-11-04,Teacher,52249
889,2019-11-04,Teacher,114403
890,2020-11-04,Teacher,87699
891,2015-11-04,Teacher,89755
892,2018-11-04,Teacher,65823
893,2015-11-04,Teacher,76009
894,2016-11-04,Teacher,99450
895,2019-11-04,Teacher,96968
896,2015-11-04,Teacher,116742
897,2015-11-04,Teacher,89882
898,2014-11-04,Teacher,89686
899,2017-11-04,Teacher,72145
900,2018-11-04,Teacher,105172
901,2017-11-04,Teacher,117608
902,2017-11-04,Teacher,51217
903,2016-11-04,Teacher,85385
904,2018-11-04,Teacher,108638
905,2019-11-04,Teacher,103724
906,2017-11-04,Teacher,89558
907,2017-11-04,Teacher,108721
908,2018-11-04,Teacher,95628
909,2017-11-04,Teacher,69595
910,2020-11-04,Teacher,99522
911,2015-11-04,Teacher,80210
912,2014-11-04,Teacher,119055
913,2018-11-04,Teacher,66820
914,2014-11-04,Teacher,105627
915,2020-11-04,Teacher,104998
916,2017-11-04,Teacher,53762
917,2014-11-04,Teacher,66696
918,2014-11-04,Teacher,70600
919,2020-11-04,Teacher,84331
920,2018-11-04,Teacher,78794
921,2017-11-04,Teacher,62267
922,2019-11-04,Teacher,95328
923,2017-11-04,Teacher,106422
924,2018-11-04,Teacher,82614
925,2017-11-04,Teacher,61004
926,2020-11-04,Teacher,56470
927,2016-11-04,Teacher,114041
928,2018-11-04,Teacher,97177
929,2016-11-04,Teacher,55324
930,2020-11-04,Teacher,61785
931,2015-11-04,Teacher,69074
932,2015-11-04,Teacher,74148
933,2016-11-04,Teacher,58917
934,2019-11-04,Teacher,64530
935,2018-11-04,Teacher,98868
936,2017-11-04,Teacher,50149
937,2016-11-04,Teacher,62125
938,2017-11-04,Teacher,95916
939,2016-11-04,Teacher,63118
940,2019-11-04,Teacher,118787
941,2016-11-04,Teacher,102425
942,2015-11-04,Teacher,98524
943,2018-11-04,Teacher,79193
944,2017-11-04,Teacher,106601
945,2020-11-04,Teacher,114157
946,2017-11-04,Teacher,64736
947,2015-11-04,Teacher,58625
948,2020-11-04,Teacher,73627
949,2015-11-04,Teacher,76640
950,2019-11-04,Teacher,80189
951,2018-11-04,Teacher,50645
952,2019-11-04,Teacher,62783
953,2018-11-04,Teacher,79262
954,2016-11-04,Teacher,107695
955,2017-11-04,Teacher,74952
956,2018-11-04,Teacher,60456
957,2019-11-04,Teacher,82190
958,2018-11-04,Teacher,70816
959,2017-11-04,Teacher,97804
960,2020-11-04,Teacher,73925
961,2018-11-04,Teacher,56448
962,2015-11-04,Teacher,58238
963,2018-11-04,Teacher,90440
964,2014-11-04,Teacher,116290
965,2018-11-04,Teacher,88048
966,2014-11-04,Teacher,114067
967,2020-11-04,Teacher,60736
968,2018-11-04,Teacher,97647
969,2016-11-04,Teacher,68267
970,2016-11-04,Teacher,114966
971,2018-11-04,Teacher,90905
972,2017-11-04,Teacher,80293
973,2014-11-04,Teacher,107321
974,2014-11-04,Teacher,86554
975,2014-11-04,Teacher,93618
976,2017-11-04,Teacher,105885
977,2016-11-04,Teacher,106020
978,2018-11-04,Teacher,74678
979,2016-11-04,Teacher,52849
980,2015-11-04,Teacher,62994
981,2015-11-04,Teacher,73180
982,2020-11-04,Teacher,80529
983,2016-11-04,Teacher,107063
984,2015-11-04,Teacher,114171
985,2019-11-04,Teacher,91046
986,2017-11-04,Teacher,76882
987,2019-11-04,Teacher,101644
988,2015-11-04,Teacher,119090
989,2019-11-04,Teacher,91342
990,2016-11-04,Teacher,65306
991,2005-11-04,Administrator,177362
992,2004-11-04,Administrator,156466
993,2013-11-04,Administrator,150630
994,2004-11-04,Administrator,138391
995,2004-11-04,Administrator,144731
996,2005-11-04,Administrator,125185
997,2008-11-04,Administrator,145832
998,2004-11-04,Administrator,125809
999,2006-11-04,Administrator,181673
1000,2011-11-04,Administrator,161515
