t_teacherkey,t_subject,t_tenure,t_office
851,History,No,F
852,Music,Yes,I
853,History,No,G
854,PE,No,B
855,Music,Yes,A
856,History,No,E
857,Music,Yes,H
858,Spanish,No,I
859,Spanish,Yes,H
860,Science,Yes,B
861,English,No,B
862,Math,Yes,H
863,English,No,C
864,Spanish,Yes,B
865,Art,Yes,B
866,Math,Yes,G
867,Music,No,H
868,French,Yes,C
869,History,No,F
870,English,No,H
871,Science,Yes,A
872,Music,No,J
873,Math,Yes,E
874,Math,Yes,B
875,Math,Yes,B
876,PE,Yes,F
877,English,No,J
878,English,Yes,A
879,Math,No,D
880,French,No,E
881,Science,No,J
882,Science,No,J
883,History,No,D
884,Music,No,A
885,Music,No,C
886,PE,No,G
887,Art,Yes,B
888,Art,No,B
889,French,No,E
890,Science,Yes,J
891,History,Yes,I
892,Art,No,A
893,Music,Yes,E
894,Music,No,C
895,Science,Yes,J
896,English,No,J
897,Spanish,No,G
898,French,Yes,B
899,Music,Yes,G
900,History,Yes,A
901,PE,Yes,D
902,Science,No,G
903,PE,Yes,A
904,Spanish,No,G
905,Math,Yes,I
906,Art,No,G
907,Art,No,J
908,History,No,I
909,French,No,A
910,History,No,B
911,Art,No,F
912,Math,No,J
913,Art,Yes,E
914,History,Yes,C
915,Math,No,H
916,Music,Yes,D
917,Science,No,A
918,English,Yes,D
919,Spanish,Yes,H
920,Spanish,Yes,C
921,Art,No,E
922,English,No,A
923,Math,No,I
924,Art,No,D
925,Art,No,C
926,English,No,C
927,History,No,A
928,English,No,E
929,PE,No,I
930,Spanish,No,F
931,Music,Yes,E
932,English,Yes,B
933,English,No,D
934,Math,No,I
935,PE,No,A
936,History,Yes,I
937,French,Yes,I
938,Art,No,J
939,Music,No,A
940,History,No,I
941,Science,No,B
942,Spanish,Yes,A
943,History,No,G
944,Music,Yes,D
945,Science,No,I
946,Music,Yes,E
947,History,Yes,J
948,French,No,H
949,Art,Yes,I
950,Music,No,C
951,French,Yes,A
952,Music,Yes,A
953,Spanish,No,H
954,Math,Yes,C
955,PE,No,E
956,Science,Yes,G
957,Spanish,Yes,C
958,Science,No,D
959,Science,No,E
960,History,Yes,B
961,Math,Yes,I
962,English,No,C
963,History,No,B
964,Spanish,Yes,D
965,History,Yes,C
966,Science,Yes,A
967,English,No,D
968,History,No,B
969,Art,No,J
970,History,No,B
971,Spanish,No,A
972,French,No,B
973,French,No,B
974,Science,No,H
975,Math,Yes,I
976,Science,Yes,G
977,Science,Yes,F
978,Music,Yes,D
979,PE,No,H
980,Science,No,C
981,PE,Yes,J
982,History,No,I
983,Spanish,No,J
984,History,No,C
985,Science,No,G
986,PE,No,A
987,English,Yes,I
988,Spanish,Yes,A
989,Music,Yes,J
990,Music,Yes,G
